En,Nk
William the Conqueror,정복왕 윌리엄
the Chisholm,치점씨
the MacNab,맥내브씨
a picture starring the Garbo,가보주역의 영화
the West,서양
the East,동부지방
the East,동양
the United Kingdom,영국
the Opposition,야당
the measles,홍역
Eggs are sold by the dozen,닭알은 타스로 팔고있다
The watch was the more precious to her because it was her mothers keepsake,그 시계는 어머니의 유물이기때문에 그 녀자에게는 더욱더 귀중한것이였다
The sooner the better,빠르면 빠를수록 좋다
"The more noble, the more humble",여문 곡식일수록 더 머리를 숙인다
go to the theatre,극장에 구경가다
a drivein theatre,자동차를 탄채로 구경하는 야외극장
the whole Shakespearian theatre,쉐익스피어의 희곡전체
The theatre clapped him many times,관객은 그에게 여러번 박수갈채를 보내였다
an operating theatre,수술실
do a theatre,연극구경가다
theatre of protest,항의연극
theatre of the absurd,부조리연극
theatre of the streets,가두연극
theatrical effect,극적효과
theca,가 안에 들어있는
thee,라고 부르다
She was angry because of their being late,그들이 늦었기때문에 성을 내고있었다
That house is theirs,저 집은 그들의것입니다
Theirs is the largest house on the block,그들의 집은 그 구획에서 제일 큰 집이다
a child of theirs,그들의 아이
Are you a friend of theirs,당신은 그들의 동무입니까
"If anybody comes, tell them to wait",누가 오면 기다리라고 하시오
We are as efficient as them,그들과 같은 정도의 실력이 있다
some of them apples,그 사과 몇알
They sat them down by the fire,그들은 화로곁에 앉았다
write an essay on the theme of,라는 제목으로 론문을 쓰다
Independence is the constant theme of the writer,자주성이 이 작가의 변함없는 주제이다
They themselves must do it,그들자신이 그것을 하여야 한다
They had to do it for themselves,그들은 자기 힘으로 그것을 하지 않으면 안되였다
The children were afraid to be left by themselves,아이들은 저희들끼리만 남게 되는것을 무서워했다
They washed themselves quickly,그들은 재빨리 몸을 씻었다
They were ashamed of themselves,그들은 자신이 부끄러웠다
They were coming to themselves,그들은 제정신이 들고있었다
from then on,그때부터
Take a hot drink and then go to bed,뜨끈한것을 한잔 마시고 잠자리에 드시오
"if you won't tell him, then i will",네가 그에게 말못하겠다면 내가 하마
well then,"그렇다면 그럼, 저"
What then,그러면 어떻게 된다는건가
"Have it your own way, then",그러면 좋을대로 하시오
the then president,당시의 대통령
before then,그 이전에
by then,그때까지는
till then,그때까지
up to then,그때까지
from thence to the present time,그때부터 오늘까지
Thenceforth was he carried,그곳에서부터 그는 실려갔다
theological education,신학교육
the polynominal theorem,다항정리
Darwins theory of evolution,다윈의 진화론
the theory of music music theory,음악리론
theory of equations,방정식론
theory of games,경기론
theory of relativity,상대성리론
radiation therapy,방사선치료
physio therapy,물리료법
here and there,여기저기에
Put it down there,거기에 놓아라
Do you see that tower over there,저기 있는 저 탑이 보입니까
there and back,왕복해서
Are we going to get there before the shops close,상점문이 닫기전에 도착할가
Dont stop there go on please,거기서 그만두지 말고 계속하시오
There I cannot agree with you,그 점은 찬성할수 없다
There goes the bell,"야, 종이 난다"
"There you are, I knew that would happen",그것봐 그렇게 될줄 알았어
You have me there,"이거 손들었소, 내가 졌어"
The pain was still there when he woke up,깨여났을 때도 아직 아픔이 있었다
There was a drop in the temperature,온도가 내려갔다
What is there to say,뭐 할말이 있니
There was born a child to them,그들에게 어린애가 생겼다
there and then,즉시에
then and there,즉석에서
there goes,이 망한다
there goes,끝장나다
where there's a will there's a way,결심만 하면 못해낼 일이 없다
There dont cry,자자 울지 말아
There now,자 어때
there you go again,또 그런짓을 하다니
Thereby hangs a tale,거기에는 다소 까닭이 있다
Thereby hangs a tale,그럴만한 사연이 있다
there is there has,또는 의 줄임형
There was nothing to be discussed thereupon,거기에 관하여 론할것은 아무것도 없었다
theriaca,만병통치약
thermal insulation,열절연
thermal regions,온천지대
therm,물리화학
thermic rays,열선
thermal diffusion,물리화학
a thermoelectric current,열전류
a thermoelectric couple,열전대
a thermoelectric couple,열전기쌍
a thermolabile enzyme,비내열성효소
a thermonuclear bomb,열핵폭탄
a thermonuclear bomb,수소폭탄
thermophilic bacteria,고온균
thermophilic bacteria,열즐김세균
a thermoreactive fibre,온도반응성섬유
a graduation thesis,졸업론문
the thespian art,희곡
the thespian art,극
thesis,로 시작되는
Nobody ever admits that they are to blame,자기가 나쁘다는 사람은 없다
they would they had,또는 의 줄임형
a thick carpet,두꺼운 주단
a thick type,굵은 활자
the room thick with smoke,연기가 자욱한 방
thick smoke,자욱한 연기
thick eyebrows,진한 눈섭
a thick voice,탁한 목소리
thick darkness,먹물을 뿌린것 같은 어둠
have a thick head,머리가 둔하다
be thick on the ground,풍부하다
be thick on the ground,가득하다
a bit thick,부당한
a bit thick,엄청난
a bit thick,지나친
the thick end of something,많은 몫
the thick end of something,대부분
The heart beats thick,가슴이 두근거린다
thick and fast,비발치듯
fast and thick,수많이
the thick of a wood,숲이 제일 무성한 곳
through thick and thin,물불을 가리지 않고
through thick and thin,만난을 무릅쓰고
He remained through thick and thin unshakably loyal to the leader and the Party,그는 어떤 일이 있어도 변함없이 수령님과 당에 충실하였다
The battle thickened,싸움이 절정에 이르렀다
a sky thickset with stars,별이 촘촘한 하늘
Stop thief,도적이야
have thievish habits,손버릇이 나쁘다
thievish living,도적질로 살아가기
He waded into the thighhigh river,넙적다리까지 올라오는 강물에 덤성덤성 들어섰다
be thin in the face,얼굴이 홀쪽하게 여위다
thin hair,성긴 머리칼
The population is thin,인구 밀도가 적다
thin air,희박한 공기
a thin argument,설득력이 없는 론의
that's too thin,너무나도 빤히 들여다보인다
have a thin time,불쾌한 꼴을 당하다
thin on the ground,수가 적은
thin on the ground,얼마 안되여
thin on the ground,드문
thin on top,머리털이 성긴
thin sliced ham,얇게 썬 햄
cut as thin as possible,될수록 얇게 자르다
thin out population,인구밀도를 작게 하다
The smoke thinned away,연기가 연해졌다
Her hair is thinning,그 녀자의 머리칼이 성글어지고있다
all things,만물
take things off the table,식탁우의 물건을 치우다
a living thing,생물
a living thing,살아있는것
household things,가구
kitchen things,취사도구
kitchen things,부엌세간
tea things,차도구
things mortgaged,저당물
as things go,지금 상태로는
as things go,세상일이 늘 그렇듯이
say the right thing,적절한 말을 하다
She goes about saying things,여러가지 일들을 소문내며 다닌다
a little thing of mine,졸작
a little thing of mine,변변치 않은 저의 작품
a dear old thing,귀여운 녀석
You stupid thing,이 바보야
It is hardly the thing to stare at people,사람을 빤히 바라보는것은 실례되는 일이다
The thing is can we raise enough money,중요한것은 충분한 자금을 모을수 있는가 하는것이다
He has a thing about cats,고양이를 몹시 무서워한다
and things,따위
and things,등
be all things to all men,모든 사람의 마음에 들도록 힘쓰다
be on to a good thing,먹을알이 있는 위치에 있다
do the thing try the thing,과 관련된 일을 하다
a film in which he does the badguy thing,그가 나쁜놈역을 하는 영화
do things to,를 좌지우지하다
do things to,에게 영향력을 행사하다
He did nt do a thing to help me,전혀 도와주지 않았다
of all things,하필이면
of all things,하많은 가운데
a thing of the past,과거의 일
a thing of the past,존재하지 않는것
i'll tell him a thing or two if he doesn't do as i tell him to,말한대로 하지 않으면 가차없이 혼내주겠다
Do you think that it is true,그것이 정말이라고 생각합니까
I think so,나도 그렇게 생각한다
I think not,그렇지 않다고 생각한다
I thought the matter very important,그 일이 매우 중요하다고 생각했다
I think him an ardent patriot,그를 열렬한 애국자라고 생각하고있다
I thought it appropriate to invite her to speak at the meeting,회의에서 그 녀자가 연설하는것이 적절하다고 생각했다
i think i'll try,해보려고 생각한다
You think to outwit me yet again,나를 또 속이려는 속심이구나
i'm thinking where to go next,다음에는 어디에 갈것인가 하고 궁리하고있는중이다
You cannot think how glad I am,내가 얼마나 기쁜지 너는 상상할수 없을거야
Little did I think that he would commit such a blunder,그가 그러한 큰 실수를 하리라고는 꿈에도 생각치 않았다
I never thought to look in the directory,주소기록부를 통하여 찾아볼데 대해서는 전혀 생각이 미치지 못했다
think ahead,앞의 일을 생각하다
think back,돌이켜 생각하다
Only think,좀 생각해보게
I m think ing about my childhood days,어린 시절의 일을 생각하고있다
Think before you speak,잘 생각한 다음 말하시오
Please think over what I have said before you decide,결심하기전에 내가 말한것을 잘 생각해보시오
when you least think,동무가 생각하지도 않은 때에
Do you think you could help me move these boxes,제가 이 상자들을 옮기는것을 좀 도와주시겠습니까
think aloud,생각을 입밖에 내여 말하다
think aloud,엉겁결에 혼자말을 하다
Do you think less of me for agreeing to do it,내가 그 일을 하는데 동의하였다고 나쁘게 생각하니
think big,대단한것을 생각하다
think big,야심적인 생각을 하다
if you think fit,그 편이 낫겠다고 생각한다면
to think that he's single,그가 총각이라니
Who do you think will win,당신의 생각에는 누가 이길것 같습니까
where do you think you're going,도대체 당신은 어디로 가는것입니까
He thought back to the day hed first met them,그는 그들을 처음 만나던 날을 회상하였다
She just would nt think of going with you,그 녀자는 너와 함께 가는것에 대해서는 꿈에도 생각하지 않을것이다
Now I think of it,인제 생각난다
i'm still trying to think of a better idea,더 좋은 생각이 없을가 하고 아직 생각하는중이다
That wants thinking out,그것은 잘 생각할 필요가 있다
I will think it over,그 일을 충분히 검토해보겠소
have a hard think,열심히 생각하다
My own private think is this,내 개인으로서는 이런 의견이다
if you think youve got another think coming,가 하리라고 생각한다면 그것은 오산이다
a leading scientific thinker,유명한 과학자
philosophical thinking,철학적사고
think tank,소속의
think tank,의 한 성원
thinly populated,인구가 적은
in the third place,셋째로
in the third place,세번째로
thirdclass treatment,제일 낮은 취급
give a third dimension to a story,이야기에 생동성을 부여하다
have a thirst,한잔 마시고싶다
for after of,갈망
for after of,열망
the thirst to learn,학습의욕
be thirsting for a drink,한잔 마시고싶어 못견디다
hunger and thirst after righteousness,정의를 갈망하다
for all this,이럼에도 불구하고
I dont like this at all,이것은 곤난해
I dont like this at all,이런것은 안되네
You mustnt behave like this,이런 짓을 해서는 안된다
This is Monday,오늘은 월요일이다
What day of the month is this,오늘은 며칠입니까
Get out of this,여기서 나가라
this man here,이 사람
this life,현세
this life,이 세상
by this time,이때까지는
park on this side of the road,도로 이쪽에 주차하다
this time,이번
this time tomorrow night,래일밤 이맘때
this morning,오늘 아침
this Friday,이번주 금요일
all this week,이번주 내내
this very moment,방금
this very moment,곧
this minute,당장
this minute,곧
There was this boy I used to go to school with,이전에 내가 학교에 함께 다니던 소년이 있었습니다
put this and that together,이것저것 종합하여 생각하다
"He would do this that, and the other",그는 이것저것 여러가지 일에 손을 대군 하였다
I know this much that he is a prize winner,그가 수상자라는 정도는 알고있다
grasp the thistle firmly,과감하게 난국에 맞서다
chlorpromazine,의 상표명
on thorns,불안하여
thorny cares,고통스러운 걱정거리
a thorough rest,절대안정
thoroughly reliable,충분히 믿을수 있는
a thoroughpaced rascal,알짜 악한
"Though it was late, we decided to set out",늦었지만 떠나기로 작정하였다
It is worth attempting though we fail,설사 실패한다하더라도 해볼만하다
"We may draw a prize, though I think not","추첨이 당첨될지도 몰라, 하긴 가망이 있을것 같지는 않지만"
"It was quite true, though",역시 완전히 사실이였다
at first thought,얼핏 생각하면
without a moments thought,즉석에서
without a moments thought,대뜸
a happy thought,묘안
My only thought was to carry out the task,과업을 수행하는것만 생각하고있었다
I had no thought of see ing him there,설마 거기서 그를 만나리라고는 생각지 않았다
take thought for,마음을 쓰다
take thought for,동정하다
take thought for,을 걱정하다
modern thought in education,현대교육사상
He seems to me a thought arrogant,나에게는 그가 다소 거만해보인다
its just a thought,생각일 따름이다
He was very thoughtful of about my safety,나의 안전에 몹시 주의를 돌려주었다
a thoughtful gift,생각깊은 선물
How thoughtful of you,당신은 정말 인정이 많으시군요
be thoughtless of others,다른 사람에 대한 동정심이 없다
a well thoughtout scheme,깊이 잘 생각하고 작성한 계획
a quickly thoughtup pretext,급히 꾸며낸 구실
Its a thousand times easier,그 편이 훨씬 쉽다
a thrall to vice,악습의 포로
in thrall,노예의 몸으로
in the thrall of a habit,습관에 얽매여서
I thrashed him at table tennis,탁구에서 그를 여지없이 눌러놓았다
rock rock,음악 음악의 한 형식
the threads of a cobweb,거미줄
threads of gold in the ore,광석속에 있는 몇줄기의 가는 금맥
the thread of life,목숨
the thread of life,명줄
the thread of life,수명
A national thread runs through his music,그의 음악에는 민족적특징이 일관되여있다
thread and thrum,모조리
thread and thrum,좋은것과 나쁜것이 뒤섞인것
threads and thrums,잡동사니
threads and thrums,날실의 실밥 쓸모없는 물건
thread a pipe with wire,관에 쇠줄을 꿰다
A note of hope threaded the story,이야기전체에 한가닥의 희망이 흐르고있었다
thread between obstacles,장애물사이를 요리조리 빠져나가다
threaded beads,실로 꿴 구슬
It threatens to rain,비가 올듯하다
a threatening call,협박전화
cluster in twos and threes,두세사람씩 모여있다
threedimensional movies,립체영화
threedimensional warfare,립체전
a threepronged fork,세가닥포크
a threepronged attack,군사 세방면에로의 공격
to the extent of threequarter,대부분
to the extent of threequarter,거의
I threshed the matter out with him,나는 그 문제를 그와 검토하였다
The game thrilled the spectators,그 경기는 구경군들의 가슴을 울렁거리게 하였다
Apple trees thrive splendidly in the Korean climate,사과나무는 조선의 기후에서 아주 잘 자란다
have a sore throat,목구멍이 아프다
fill up to the throat,배가 잔뜩 부르도록 처먹다
The film grabs the audience by the throat and refuses to let go,그 영화는 관중의 심중을 완전히 그러잡고 놓지 않는다
Scotland took the game by the throat,스코틀랜드팀이 완전히 우세하였다
a red throated bird,목줄기가 빨간 새
His heart had ceased to throb,그의 심장은 고동을 멈추었다
He throb bed with desire,욕망으로 몸을 부르르 떨었다
the heir to the throne,왕위계승자
throngs of people,사람들의 무리
a medley throng,어중이떠중이들
throng the theatre,극장에 몰려가다
throttle discussion,토론을 막다
A thrill ran through my vein,온몸이 짜릿하였다
fly through the air,공중을 날아가다
swim through the water,물속을 헤염치다
through a machine,기계로 가공되여
enjoy health through life,한평생 건강하게 지내다
through all ages,만대에
through all ages,영원히
go through an operation,수술을 받다
work through college,고학으로 대학과정을 마치다
It was through him that I knew her,내가 그 녀자를 알게 된것은 그를 통해서였다
run away through fear,무서워서 도망치다
through shame,부끄러운 나머지
A voice was heard through rolling drums,둥둥거리는 북소리에도 눌리우지 않고 누군가의 목소리가 들렸다
read a book through,책을 통독하다
wait till i'm through,내가 끝날 때까지 기다려주시오
He is not yet through,일이 아직 끝나지 않았다
I am through for the day,오늘 일은 끝났다
This train goes through to Pyongyang,이 렬차는 평양까지 직행한다
Get the ticket through to Chongjin,청진까지의 직행차표를 사시오
He stayed there the whole summer through,온 여름 줄곧 그곳에 머물렀다
She was wet through with perspiration,땀으로 온몸이 흠뻑 젖어있었다
I am chilled through,온몸이 꽁꽁 얼었다
Is he through,그는 합격했습니까
You are through,련결되였습니다
You are through,상대방이 나왔습니다
Are you through,통화가 끝났습니까
through and through,완전히
through and through,샅샅이
through and through,철저히
through and through,철두철미
We were wet through and through,온몸이 흠뻑 젖었다
a through passenger,직행려객
a throughcomposed song,무절가요
throughout the country,전국도처에
throughout the country,온 나라 이르는곳마다에
throughout the length and breadth of the land,방방곡곡에
throughout the length and breadth of the land,전국 각지에
The house was searched throughout,집은 샅샅이 수색되였다
revise a dictionary throughout,사전을 전면적으로 개정하다
Today has been fine throughout,오늘은 종일 날씨가 좋았다
I threw myself upon my horse,훌쩍 말에 올라탔다
He threw himself into a chair,그는 털썩 의자에 앉았다
throw a fly,홀림낚시질을 하다
throw a punch,강타를 안기다
throw light on,에 빛을 던지다 을 환하게 하다
He threw her a quick glance,그는 힐끗 그 녀자를 쳐다보았다
throw a student out of college,학생을 퇴학시키다
throw a bridge across over the river,강에 급히 다리를 놓다
throw a pot,단지를 빚다
throw silk,명주실을 꼬다
throw a party,연회를 차리다
This problem completely threw me,이 문제에는 꼼짝할수 없었다
throw away the key,가두어넣고 내놓지 않다 종신감옥생활을 시키다
He threw up his hands in disgust,그는 진저리가 나서 두손 버쩍 들었다
a shoulder throw,어깨걸어메치기
throw of the dice,모험
thrown silk,꼰 명주실
at the first throwoff,출발 당초에
He thrust his way through the crowd,붐비는 사람들속을 밀어헤치면서 나아갔다
a thrust with a sword,검으로 한번 찌르기
I made a thrust at him,그를 찌르려고 덤벼들었다
An apple fell with a thud,사과가 뚤렁 떨어졌다
thuggish,암살의
thuggish,살인의
thuggish,폭행의
thuggism,암살
hitchhike,하기 마리후아나담배
stick out like a sore thumb,일목료연하다
stand out like a sore thumb,눈에 잘 띄다
The project was finally given the thumbs up,그 계획은 마침내 접수되였다
Her performance got the thumbs down from the critics,그의 공연은 비평가들의 배격을 받았다
thump at the door,문을 쾅쾅 두드리다
thump on a drum,북을 둥둥 치다
This is a thumping lie,이는 터무니없는 거짓말이다
thunder and lightning,벼락
thunder and lightning,우뢰와 번개
thunders of applause from the galleries,맨 웃층 일반관람석에서 나는 우뢰와 같은 갈채
Thunder By thunder,젠장
Thunder By thunder,빌어먹을
Thunder By thunder,제길할
What by thunder is that,도대체 저게 뭐야
a face like thunder,성난 얼굴
a face like thunder,노한 표정
Then heaven thundered,이어 하늘에서 꽈르릉하고 천둥이 울었다
thunder at the door,문을 부서져라 하고 쾅쾅 두드리다
Guns thundered out a salute,례포가 쾅하고 울렸다
a thunderclap of talk,우뢰소리같은 말소리
Thus much is certain,여기까지는 확실하다
Why this thusness,어째서 이 모양일가
It was thy merit,그것은 그대의 공적이였다
Know thyself,그대자신을 알라
tiara,를 씀
in a tick,인차
in a tick,곧
in a tick,순간에
it'll only take two ticks,그저 잠간이면 된다
The clock ticked away in the hall,홀의 벽시계가 계속 똑딱거리고있었다
the minutes ticked past and still she didn't call,몇분이 잘 흘렀지만 그에게서는 아직 전화가 없었다
he will tick you off if you're late again,네가 또 지각하면 그는 너를 꾸짖을거야
His impudence ticked me off,그의 뻔뻔스러움에 성이 났다
on tick,외상으로
a price ticket,가격표
a pawn ticket,전당표
on the Democratic ticket,민주당의 공인후보자로서
Whats the ticket,어쩌면 좋을가
Whats the ticket,어떻게 되였는가
a deposit ticket,예금전표
a sales ticket,판매전표
He is ticketed for the post,그 자리에 지명되여있다
I was ticket ed for speeding,속도위반으로 호출장을 받았다
ticketed passengers,표가 발급된 려객들
Everything is ticketyboo,만사가 잘되고있다
on a tickey,좁은 장소에서
He could turn his car on a tickey,좁은 곳에서도 차를 돌릴수 있다
be tickled pink be tickled to death,매우 기뻐하다
if i see something that tickles my fancy i'm going to buy it,내 마음에 드는것을 보면 그것을 사려고해
tickle the ivories,피아노를 치다
give a tickle,간지럽히다
"stickleback, minnow tadpole",작은 물고기 특히 혹은 류달리 작은것
a tiddly little pool,자그마한 수영장
ebb tide,썰물
half tide,반조
on the tide,조수를 타고
turn the tide,형세를 일변시키다
The tide of events turns,정세가 변한다
take fortune at the tide take the tide at the flood,좋은 기회를 리용하다
glad tidings,기쁜 소식
sad tidings,비보
sad tidings,슬픈 소식
a tidy room,깨끗이 정돈된 방
a tidy solution,만족할만한 해결책
a tidy sum of money,꽤 많은 금액
a tidy mind,명석한 지력
She was bonny and tidy,귀엽고 건강했다
tie a package,소포를 꿍지다
tie up a skiff,쪽배를 매여두다
be tied hand and foot,손발을 묶이우다 행동의 자유를 잃다
They were tie d by common interests,그들은 공통된 리해관계로 결합되여있었다
he's a man to tie to,그는 믿을수 있는 사나이다
Traffic was tied up until noon,교통은 한낮까지 차단되였다
tie up the arrangements for a holiday,휴식일의 준비를 다 갖추다
leave the dog tied up to a tree,개를 나무에 묶어놓다
ties of blood,혈연
the ties of marriage,결혼의 연분
They want friendly ties with Korea,그들은 조선과의 친선관계를 바라고있다
Englands World Cup tie against Argentina,잉글랜드와 아르헨띠나와의 월드컵경기
legal ties,법적구속
neatly tied package,잘 묶은 꾸레미
a tiein sale,끼워팔기
a classroom in tiers,계단식교실
the lower tier of society,사회의 하층계급
a tiered skirt,가로 단을 댄 치마
have a tiff with,와 말다툼을 하다
"Despite his wound, he still fought like a tiger",부상을 당했으나 맹호처럼 싸웠다
The jacket is rather a tight fit,웃옷이 지내 빠듯하다
She tied the rope around the post and pulled it tight,그 녀자는 말뚝에 바줄을 감아매고 팽팽하게 당기였다
His mother kept a tight hold on his hand,그의 어머니는 그의 손을 꼭 잡아쥐였다
keep tight control on immigration,입출국을 엄히 단속하다
a tight budget,긴축예산
"As usual, his schedule on Saturday was tight",여느때처럼 토요일의 그의 일정은 긴장하였다
i'm working to a very tight deadline,나는 일을 신속히 끝내야 한다
Dont be so tight,너무 린색하게 굴지 말아
She wore her hair in a tight bun,그는 단단한 다발머리로 틀었다
the tight bonds that had grown between them,그들사이에 자라난 혈연적뉴대
on a tight bend,급한 굽인돌이에서
force a tight smile,어줍은 미소를 짓다
The band gave a really tight performance,악단은 정말 훌륭한 공연을 펼치였다
get tight,취하다
"be in a tight place be in a tight corner, be in a tight spot",궁지에 빠지다
shut the door tight,문을 꽁꽁 닫다
tightassed,린색한
tightassed,융통성없는
His face muscles tightened,얼굴근육이 굳어졌다
a tightknit organization,단결된 조직
a tightrope dancer,줄타기교예배우
walk a tightrope,줄타기를 하다
in a tight spot,궁지에 몰려
a plain tile,평기와
have a tile loose,정신이 좀 이상하다
till now,지금까지
till then,그때까지
I slept till it was light,밝을 때까지 잠잤다
Do nt start till I give the word,내가 명령할 때까지 떠나지 말라
till a field of knowledge,어느 한 지식분야를 연구하다
land in tillage,부침땅
at the tiller,키를 잡고
at the tiller,지휘를 하여
The floor tilted slightly,마루가 약간 경사졌다
tilt at wrongs,나쁜 페단을 공격하다
He tilted his second cocktail,두번째 잔의 혼합술을 다 마시다
tilt an adversary,적과 싸우다
give a tilt to a barrel,통을 기울이다
on the tilt,기울어져서
have a tilt at against,론박하다
have a tilt at against,을 공격하다
tilt hammer,금속가공
a tilt at the European Cup,유럽선수권을 쟁탈하려는 시도
the tilth of the ground,토지의 경작
standing timber,선나무
a timbered building,목조건물
a timbered banqueting hall,판벽을 댄 연회장
time and space,시간과 공간
in time to come,장래에
with time,이윽고
with time,시간이 지남에 따라
for some time,얼마동안
after a time,곧
after a time,이윽하여
at any time,어느때든지
at some time,언젠가
by this time,지금쯤은
by this time,이때까지는
What time is it What time do you make it,지금 몇시입니까
Is that the time,시간이 벌써 그렇게 되다니
harvest time,가을걷이계절
of all times,고금을 통해서의
with the change of the time s,시대의 추이에 따라
good time s,호경기
as times go,현정세에서는
as times go,요즘 형편에서
as times go,시기가 시기인것만큼
In her time she was a great star,한창때에는 한다하는 인기배우였다
I have no time to spare,바빠서 짜낼 시간이 없다
curtain time,공연시작시간
at a set time,예정된 시각에
at any time,아무때나
for the first time,처음으로
Now is the time to invest,지금이야말로 투자할 좋은 기회이다
Its time for the news now,보도시간이다
there's no time like the present,지금과 같은 좋은 기회는 없다
this is the first time i've been here,여기에 온것은 이번이 처음입니다
each time,매번
each time,매회
times out of number,이루 셀수 없을만큼 여러번
He has now served his time,도제살이기간이 끝났다
He served his full time,형기를 다 마쳤다
beat time,박자를 맞추다
quick time,속보
slow time,평보
It is about time I came clean and admitted it,내가 깨끗이 털어놓고 인정할 때이다
against time,전속력으로
at all times,언제나
at all times,항상
at times,때때로
at times,가끔
before time,때가 되기전에
before time,때이르게 명을 다 살지 못하고
before time,달이 못차서
behind the times,시대에 뒤떨어져서
do time,형기를 치르다
every time,매번 언제나
every time,례외없이
every time,반드시
for the time being,당분간
from time to time,때때로
from time to time,가끔
good old times,그리운 옛날
half the time,자주
half the time,거의 언제나
half the time,대체로
have a good time,즐겁게 지내다
have a good time,유쾌히 보내다
He has no time for people who talk too much,그는 말을 지내 많이 하는 사람들을 좋아하지 않는다
have the time,시간이 있다
Well be at the airport in good time,우리는 비행장에 일찌기 도착하게 될것입니다
in time,때를 기다리면
in time,조만간에
in time,멀지 않아
Its only a matter of time before we catch the person who killed her,언젠가는 그를 죽인 놈을 잡게 될것이다
kill time,소일하다
kill time,심심풀이를 하다
know the time of day,만사를 다 알고있다
most of the time,흔히
most of the time,거의 내내
not before time,겨우
not before time,거의 때를 놓친 늦은 편으로
if I had my time over again,만약 내가 생을 다시 산다면
on time,제시간에 시간을 어기지 않고
arrive on time,정각에 도착하다
Be on time,시간을 지키시오
out of time,너무 늦어서
over time,오랜 기간에
race against time,시간을 다투며 일하다
work against time,시간을 다투며 일하다
battle against time,시간을 다투며 일하다
take time off,쉬다
take time off,시간을 받다
There is a time for everything,무슨 일이나 때가 있는 법이다
there's no time to lose,꾸물거릴 시간이 없다
