En,Nk
time after time,자주
time and again,종종 여러번
time and time again,루차
time and time again,재삼
Times change,시대는 변한다
time of life,나이
time of life,년령
at your time of life,너의 나이때에는
with time to spare,시간의 여유를 가지고
with time to spare,예정보다 빨리
punch a time clock,시간기록시계를 누르다
an accurate timekeeper,정확한 시계
timelapse photography,저속도촬영사진
time draft,금융
take time off,휴식하다
call for a timeout,타임아우트를 요구하다
first timers,처음으로 하는 사람들
write to the Times,타임스지에 투고하여 여론에 호소하다
timeserved experts,견습과정을 거친 숙련공들
He is timid of praise,칭찬을 받기 수집어한다
a girl with timid eyes,겁에 질린 눈을 한 소녀
a cry of tin tin cry,함석을 휠 때 나는 소리
have a tin ear,귀가 꽉 메다 음치이다
burn like tinder,맹렬히 타다
His cheek was tinge d with colour,그의 뺨에는 홍조가 피여올랐다
a tinge of red,불그스레한 색갈
autumnal tints,가을빛
tinted paper,색종이
tinted spectacles,색안경
the orange tinted sky,오렌지색의 하늘
little tiny tiny little,조꼬마한
from tip to toe,끝에서 끝까지
tip missiles with nuclear warheads,미싸일에 핵탄두를 설치하다
The boat tipped over,뽀트가 뒤집혔다
That sort never tip,저런 사람들은 팁을 줄줄 모른다
He gave me a tip on the shoulder,나의 어깨를 툭 쳤다
It tipples down It is tippleing down,비가 억수로 퍼붓다
get tipsy,취하다
the tiptop of the mast,돛대의 꼭대기
feel tired,피로를 느끼다
sick and tired of,에 아주 진저리가 나서
tired blood,무기력
face tissue,화장용지
toilet tissue,위생지
to a tittle,정확히
to a tittle,꼭
trinitrotoluene,폭약
trinitrotoluol,폭약
go to the north,북쪽으로 가다
He returned to Pyongyang,평양에 돌아왔다
To arms,전투준비
To arms,무기를 잡으라
All hands to work,전원 작업착수
turn to the right,오른쪽으로 돌다
turn to the right,오른쪽으로 향하다
The house opens to the south,그 집은 남향이다
stand to attention,차렷자세를 취하다
be rotten to the core,속까지 썩다
to the full,완전히
to the full,마음껏
to the full,충분히
from Saturday to Monday,토요일부터 월요일까지
from day to day,련일
from month to month,매달매달
to that end,그 목적을 위하여
to the end that,을 위하여
apply soap to a towel,수건에 비누칠하다
known to the world,세상에 알려져서
necessary to education,교육에 필요한
a son born to him,그에게 생긴 아들
attend to the business,일에 달라붙다
add A to B A B,를 에 더하다
It belongs to me,그것은 내것입니다
be attached to,에 애착을 느끼다
I sat down to table,식탁에 마주앉았다
face to face,코를 맞대고
confess to a crime,죄를 저질렀다고 자백하다
he's to home,그는 집에 있다
I like to think so,그렇게 생각하고싶다
a house to let,세집
water to drink,음료수
I am sorry to hear that,그것 참 안되였습니다
She is beautiful to look at,보기에 아름답다
I asked him to come in,그에게 들어오라고 말했다
Make him repeat it,그에게 그것을 되풀이하게 하시오
Help him lift it,그것을 들어올리는것을 도와주라구
To see is to believe,백번 듣는것보다 한번 보는것이 낫다
bring a ship to,배에 정지명령을 내리다
Is the door to,문이 닫겼는가
The door crashed to,문이 쾅 닫겼다
fall to,먹기 시작하다 서로 때리기 시작하다
The accident occurred close to,사고는 바로 가까이에서 일어났다
I ordered the horses to,말을 마차에 메우라고 명령했다
The horses are to,말은 마차에 메워져있다
I was watching the crowd passing to and fro,나는 군중이 좌왕우왕하는것을 보고있었다
make toast,토스트를 만들다
be toast,죽다
be toast,끝장이다
One mistake and you re toast,한번만 더 잘못하면 끝장이야
drink a toast,축배를 들다
He found himself the toast of the football world,그는 축구계의 소문난 선수였다
toast each others health,서로의 건강을 위하여 축배를 들다
swear off tobacco,맹세하고 담배를 끊다
give up tobacco,담배를 끊다
Kentucky,미국 주의 속칭
a bride tobe,신부가 될 사람
"i'm going to do something, not just sit here on my tod",여기에 혼자 앉아있을것이 아니라 뭔가 해야겠어
today s newspaper,오늘신문
a week ago today,지난 주의 오늘
He made a great todo about fetching a cup,그는 고뿌를 가져오라고 법석 고아댔다
toe and heel,발끝과 발꿈치로 추는 타프춤
Test of English for International Communication,국제통신교제영어시험
slug it out toetotoe,정면으로 맞서서 끝까지 싸우다
He cant sing for toffee,그는 전혀 노래부를줄 모른다
a toffeenosed girl,코대높은 처녀
riding togs,승마복
golf togs,골프복
We got togged up in our glad rags,우리는 나들이옷을 떨쳐입었다
go about together,함께 돌아다니다
live together,함께 살다
Do not speak all together,모두가 동시에 말하지 말라
do a task together,일을 공동으로 하다
We talked for hours together,몇시간이고 쉬지 않고 이야기하였다
He looks a very together young man,자신만만한 젊은이같다
an actors toggery,배우의 옷차림
toil on through a book,애쓰며 책을 다 읽다
toil and moil,아글타글 일하기
in the toils,홀리여
in the toils,매혹되여
in the toils,그물에 걸려서
Henry had become caught in the toils of his own deviousness,헨리는 제속임수에 걸려들었다
present a friend with a token,동무에게 기념품을 주다
give tokens,신호하다
by the same,그 증거로는
by this token,그 증거로는
by that token,그 증거로는
in token of,의 표시로서
as a token of,의 기념으로
as a token of,의 증거로
a token resistance,명색뿐인 저항
The pain was severe but tolerable,아픔은 심하지만 참을수 있었다
a death toll,죽은 사람수
the total toll of the roads,교통사고사상자 총수
Years of glassblowing have taken their toll on his body,여러해동안 유리불기를 하여 끝내 병이 생기였다
a tollfree highway,무료고속도로
from the womb to the tomb,태여나서 죽을 때까지
around,녀자의 꽁무니만 쫓아다니다
Thompson submachine gun,경기관총
the day after tomorrow,모레
Tomorrow never comes,오늘 할 일을 래일로 미루지 말라
tomorrow week,다음주 래일
Uncle Toms Cabin,순회공연으로 하는 극
tons of friends,많은 친우들
tons of hair,많은 머리숱
That is tons better,그것이 훨씬 낫다
speak in a friendly tone,정답게 말하다
say in a low tone,조용히 말하다
He took a high tone,거만한 소리를 쳤다
fundamental tone,원음
in a tone,일치하여
on the tongues of men,남들의 입에 올라
His tongue failed him,말이 나가지 않았다
a long tongue,장광설
sharp tongue,독설
a flattering tongue,아첨하는 말
mother tongue,모국어
Cat got your tongue Lost your tongue,입이 얼어붙었니 왜 말을 못해
set tongue wagging,소문을 퍼뜨리다
set tongue wagging,소문이 자자해지다
slip of the tongue,잘못 말함
slip of the tongue,부주의한 발언
slip of the tongue,실언
The fire tongued up the house,날름거리는 불길이 그 집을 핥았다
double tongued,앞뒤가 맞지 않는 말을 하는
double tongued,이랬다저랬다하는
foul tongued,입이 건
foul tongued,입이 험한
a tonic medicine,강장제
quinine water,토닉
a tonish singer,류행가수
a tonsorial artist,리발사
He is coming too,그도 온다
too beautiful for words,이루 다 말할수 없으리만큼 아름다운
that's too bad,거 참 안됐군요
that's too bad,거 유감스럽군요
I am too happy,대단히 행복하다
not too,그다지 않다
He is not too well today,오늘은 몸이 그다지 좋지 않다
It is only too true,유감이지만 그것은 사실이다
This is too much,이건 너무하다
literary tools,학용품
literary tools,문방구
a tool of communication,전달수단
Words are the tools of thought,말은 사상표현의 수단이다
Good workmen never quarrel with their tool,능한 직공은 연장을 나무라지 않는다
tooled in gold,금박을 한
A car tooted at us,우리에게 자동차가 빵빵 하고 경적을 울리였다
a canine tooth,송곳이
a molar tooth,어금이
a permanent tooth,간이
a permanent tooth,영구치
cut a tooth,이가 나다
the sharp teeth of the wind,살을 에이는 맵짠 바람
have a sweet tooth,단것을 좋아하다
armed to the teeth,완전무장하여
in the teeth of,와 얼굴을 맞대고
in the teeth of,맞서서
in the teeth of,의 면전에서
tooth a saw,톱날을 세우다
suffer from toothache,이를 앓다
buck toothed,버덩이의
a toothy smile,환한 웃음
It had become tootoo tiring,지루하기 그지 없었다
Hop down here toot sweet,여기에 냉큼 오라
a bottle top,병마개
take the top of the table,좌상이 되다
take the top of the table,식탁의 웃자리에 앉다
let's take it from the top again,한번 더 처음부터 합시다
the top of happiness,무상의 행복
people at the top,높은 자리에 있는 사람들
This sauce is top with beef,이 양념즙은 소고기와 제격이다
from top to bottom,머리끝에서 발끝까지
from top to toe,완전히
from top to tail,철두철미
from the top,처음부터
from the top,시작부터
not have much up top,그다지 총명하지 못하다
put on a raincoat on top,우에 비옷을 걸치다
be on top for the first half,전반전에 우세하다
on top of,우에
put my suitcase on top of his,그의 려행가방우에 내것을 올려놓다
on top of the world,성공하여
on top of the world,출세하여
on top of the world,이름을 날려
on top of the world,더없이 기뻐하여
on top of the world,의기양양하여
When I heard shed been released I felt on top of the world,나는 그가 놓여나왔다는 소식을 듣고 더없이 기뻤다
over the top,할당액을 초과하여
over the top,한도이상으로
reach the top of the tree be at the top of the ladder,최고의 지위에 오르다
the top and bottom of it,골자
the top and bottom of it,요약
the top of the market,최고가격
the top floor,맨웃층
the top rung,사다리의 맨 웃단 성공의 절정 중요한 지위 수위
top prices,최고가격
top quality,최상의 질
top speed,최대속도
top priority,가장 큰 관심사
win top honours in a competition,학과경연에서 최우등을 쟁취하다
top a box,상자뚜껑을 덮다
to top it all,게다가 또
to top it all,엎친데덮치기로
to top it all,설상가상으로
Can I top you up,잔을 채워줄가요
spin a top,팽이를 돌리다
The top sleeps,팽이가 선듯이 한곳에서 돈다
a topdog position,최고의 지위
topmast royal mast,보다 우에 있고 보다 아래에 있는 웃돛대의
a topic for conversation,화제
a topical allusion,시사문제에 대한 언급
a topical remedy,국소료법
a topical anaesthetic,국소마취제
toplevel talks,최고위급회담
a topnotch hotel,일류급호텔
the topnotch efficiency,최고능률
topping out,상량식
celebrate the topping out,상량식을 거행하다
The chimney toppled onto the roof,굴뚝이 지붕우에 넘어졌다
topple the military regime,군사정권을 뒤집어엎다
His work is tops,그의 작품은 최고걸작이다
top secret documents,극비문서
fall topsyturvy,거꾸로 곤두박히다
the torch of Hymen,사랑의 불꽃
carry a torch for,짝사랑으로 괴로워하다
put to the torch put a torch to,불을 질러 파괴하다
The shop was looted and torched,물건은 다 털어가고 상점은 불에 탔다
a torchlight procession,홰불행렬
torch song,가수
She was subjected to a torrent of abuse,그 녀자에게 욕사발이 차례졌다
torrential stream,격류
torrid love,열렬한 사랑
torsional,비트는
torsional,비꼬는
torsional,비틀린
in tort,불법행위때문에
in tort,불법행위에 관하여
instruments of torture,고문도구
be in torture,고민하고있다
be in torture,고민하고있다
a tossing sea,파도사나운 바다
tossing the caber,막대기던지기놀이
toss it in,항복하다
toss it in,패배를 인정하다
not care a toss,에 대해 전혀 개의치 않다
take a toss,말에서 떨어지다
a contest to find the best pancake tosser,지짐을 올려던져 뒤판으로 떨어지게 하는 경기
a tiny tot,애기
a tiny tot,꼬마
tots and toddles,어린 아이들
the total sum,총계
the total sum,총액
a total stranger,전혀 모르는 사람
total nakedness,발가숭이
total nakedness,알몸
a total war,전면전쟁
a total war,총력전
total defense,총력을 기울인 전면방비
the grand total,총계
in total,전체로서
in total,총
a totalitarian state,전체주의국가
the totalitarianism of Nazi Germany,나치스도이췰란드의 전체주의
in totality,전체적으로
in totality,완전히
totalized war,국가총력전
an actual total loss,현실전손
in a totally different way,전혀 다른 방법으로
tother day,전날
differ toto caelo,천양지차가 있다
be toto caelo different,차이가 엄청나게 크다
disagree toto caelo,전혀 맞지 않다
totter from crisis to crisis,위기를 겪고나면 또 다른 위기에 맞다들려 비틀거리다
tottering steps,비틀거리는 걸음걸이
Dont touch exhibits,진렬품에 손을 대지 마시오
His head almost touched the ceiling,그의 머리는 거의 천정에 닿았다
a style that can not touch that of Shakespeare,쉐익스피어의 문체와는 도저히 대비도 안되는 문체
He touches neither coffee nor tea,그는 커피도 차도 안마신다
I have nt been able to touch my work all day,온종일 일이 손에 잡히지 않았다
It touched me to the heart,그것은 나를 몹시 감동시켰다
The matter touches you closely,그 문제는 너와 밀접한 관계가 있다
The time touched upon departure,출발시간이 박두했다
touch bottom,물밑에 닿다 제일 어려운 처지에 이르다
The remark touched him home to the quick,그 말은 그의 아픈데를 다쳤다
The plane touched down at the airport for refueling,그 비행기는 연료보급을 위해 비행장에 착륙했다
the sense of touch,촉각
the sense of touch,촉감
try to get in touch with the times,시대에 뒤떨어지지 않도록 힘쓰다
i've lost touch with him,그와의 련계가 끊어졌다
with a touch of irony,좀 비꼬는 투로
a touch in the brain,머리가 좀 이상함
a touch in the brain,가벼운 정신병증세
a human touch,인간성
a human touch,인간미
a near touch,구사일생
be no touch to,과는 비교도 안되다
in touch of within touch of,의 가까이
lose touch with,서신거래가 끊어지다
to the touch,만져보기에
The silk was slightly rough to the touch,이 명주는 만져보니 약간 거칠다
touch and go,재빠른 움직임
touch and go,잠간 다쳤다 떼는것
touch of nature,자연의 정서적감응 인정미 동정을 이끌만한 감정의 표시
touch of the sun,약한 일사병
a touchandgo business,위험한 일
touchandgo sketches,대충 그린 소묘
a threewheel touchdown,안전한 착륙
He is a bit touched in the head,머리가 좀 돌았다
as near as a toucher,거의 아슬아슬하게
a near toucher,위기일발
a beefsteak as tough as leather,가죽처럼 질긴 소고기
a tough problem,힘든 문제
"Poor kid, its tough on her","불쌍해라, 힘들겠구나"
a tough struggle,격투
Tough,설마
a tough lot,불한당
a tough lot,불량자
a tough guy,주먹이 센 사나이 불한당
a tough nut,망나니
a tough nut,악당
a tough policy,강경정책
Police have been getting tough with drivers,경찰은 운전수들을 엄하게 단속하고있다
tough the winter out,겨울을 참고 견디여내다
tough it out,고난을 이겨내다
toughen up sentencing policy,형벌제도를 강화하다
a sightseeing tour,관광려행
a wedding tour,신혼려행
a tour of inspection,시찰려행
go on tour,순회공연하다
a tour of the country a provincial tour,지방순회공연
The Moscow Symphony Orchestra is here on tour,모스크바교향악단이 여기서 순회공연중에 있다
a tour of duty in Northern Ireland,북아일랜드에서의 복무기간
a tourist bureau,려행사
a tourist party,관광단
tourist class,로
a touristy attitude,관광객풍의 태도
a chess tournament,장기경기
tousled hair,헝클어진 머리
tout for orders,주문해달라고 귀찮게 조르다
She was touted as potential Prime Minister,그 녀자는 앞으로 총리가 되여달라는 권유를 받았다
on the tout for,을 망보고
Russ,동지 친구
I saw her towing her little brother along by the hand,그 녀자가 어린 남동생을 끌고가는것을 보았다
go towards the town,시내쪽으로 가다
get towards,로 다가가다
hills towards the north,북쪽에 있는 산들
His back was towards me,등을 내게 돌려대고있었다
as we get towards Pyongyang,평양에 가까와짐에 따라
a bath towel,목욕수건
a clock tower,시계탑
a watch tower,망루
Tower of London,런던탑
a towering passion,격노
a man from the town,도회지출신의 사람
leave town,수도를 떠나다
i'd go to town on the redecoration,비용이 들더라도 집꾸리기를 하겠습니다
My father was in town when the earthquake hit the it,지진이 일어났을 때 아버지는 도시에 있었다
town and gown,시민측과 대학측
town and gown,일반시민들과 대학관계자들
town life,도시생활
a toxic drug,독약
toxic smoke,독가스
toxic materials,독성물질
toxic symptoms,중독증상
Stop toying with your food,음식을 가지고 께적거리지 말아
find the traces of big game,큰 사냥감이 지나간 발자국을 발견하다
be hot on the traces of,을 맹렬히 추적하다
the traces of war,전쟁의 상처
without a trace of sympathy,조금도 동정하는 기색이 없이
trace a river to its source,강을 그 원류까지 거슬러올라가다
His book traces his flying career with the AF,그이 책은 그가 공군에 복무할 때의 비행경력에 대하여 묘사하고있다
"Through the binoculars, I traced the path I had taken the night before",망원경으로 전날밤에 지나온 길을 확인하였다
trace out a line of conduct,행동방향을 정하다
a traceless crime,흔적없는 범행
tracks in the snow,눈우의 발자국
a track through a wood,숲속의 오솔길
lay tracks,선로를 부설하다
stream,교육
lose track of,을 잊어버리다
lose track of,놓치다
lose track of,를 기록하는것을 소홀히 하다
on track,탈선없이
on track,정상궤도우로
keep the economy on track,경제를 정상궤도우에서 유지하다
track and field,륙상경기
track the footprints,발자국을 따라가다
track a floor,마루에 발자국을 내다
"i'm sorry, i've tracked in the road salt from the street",거리에서 묻혀온 도로소금자국을 내서 미안합니다
trackless trams,무궤도전차
track lighting,에 쓰이는 전등
a long tract of time,오랜 시간
the urinary tract,비뇨관
the urinary tract,뇨로
digestive tract,소화관
the motor tract,운동신경삭
a tractable horse,다루기 쉬운 말
force of traction,끄는 힘
force of traction,견인력
the changeover to electric traction,전기철도에로의 전환
in traction,견인상태에 있는
His leg is in traction,그의 다리는 견인중이다
a farm tractor,경작용뜨락또르
a significant increase in foreign trade,대외무역의 급격한 증대
do an honest trade,성실한 거래를 하다
go out of the trade,장사를 그만두다
an increase in the trade,시장의 확대
the trade of a printer,인쇄업
in trade,무역에 종사하는
those in trade,무역쟁이들
the trade belts,무역풍지대
trade in luxury goods,기호품장사를 하다
trade dirty jokes,상스러운 롱담을 주고받다
They traded a few punches,그들은 치고받고하였다
trade India,인디아와 통상하다
The hostages were traded for arms,인질과 무기를 바꾸었다
Polish government is trading on fears of inflation,뽈스까정부는 인플레에 대한 공포감을 악용하고있다
I have a TL for you,너를 칭찬한 사람이 있어
a registered trademark,등록상표
counterfeit a trademark,상표를 위조하다
all the trademarks of Mafia hit,마피아습격의 모든 특징들
according to tradition,구전에 의하면
be handed down by tradition,전해내려오다
follow tradition,전통을 따르다
true to tradition,관례대로
stage tradition,무대상연극의 관례
by tradition,전통적으로
in the tradition of,때부터 내려오는 전통에 따라
a traditional view,전통적인 견해
a traffic accident,교통사고
traffic volume,교통량
direct traffic,교통정리를 하다
human traffic,인신매매
the traffic in stolen cattle,도적질한 가축거래
ships of traffic,무역선
a traffic in ideas,의견교환
traffic in drugs,마약장사를 하다
be caught in traffic jam,교통혼잡에 오도가도 못하다
a drug trafficker,마약거래자
The tragedy of it,"아, 이 무슨 비극이야"
dramatic irony,연극
Ivy trails over the wall,담쟁이가 담을 따라 뻗어가고있다
Smoke trailed from the chimney,굴뚝에서 연기가 옆으로 길게 뻗어갔다
trail arms,군사 허리들어총 땅과 수평되게 총을 들다
the trail of a snake,뱀이 지나간 자국
Police tracked him to Valencia and there the trail went cold,경찰은 발렌씨아까지 그를 추적하였지만 거기에서 실마리는 끊어지고 말았다
the tourist trail,관광로정
vapour trails,비행운
at the trail,군사 허리들어총의 자세로 땅과 수평이 된 총의 자세로
be on the trail of,에 대하여 알아내려고 하다
Police believe they are hot on the trail of a drugsmuggling gang,경찰은 자기들이 어느한 마약밀수범죄집단을 거의 적발하게 되였다고 믿고있다
He was a trailblazer for many mechanical ideas,그는 많은 기계들을 창안한 사람이였다
a trailer bus,련결차가 달린 대형뻐스
house trailer,자동차
trailing plants,덩굴식물
train soldiers,병사들을 훈련시키다
The dogs are trained to sniff out illegal stowaways,이 개들은 비법적으로 감추어둔 물건들을 냄새로 맡아내는 훈련을 받는다
The detective trained his gun on the door,형사는 총구를 문으로 돌리였다
Her long skirt trained on the floor,그의 긴 치마가 마루바닥에 질질 끌리고있었다
an accident to a train a train accident,렬차사고
an express train,급행렬차
a through train,직통렬차
go by train,기차로 가다
a funeral train,장례행렬
You may be setting in motion a train of events which will cause harm,그러다간 련속 일을 쳐 해를 끼치겠다
in the train of peace,평화의 뒤에 이어
the train of wave,파렬
the train of wave,파동렬
in train,잘 조직된
in train,진척되고있는
go into training,련습을 시작하다
a training school for nurses,간호원양성소
English traits,영국 국민성
a traitor to the nation,민족반역자
a traitorous action,배신행위
traitor,의 녀성형
by tram,전차로
cast off trammels,속박에서 벗어나다
"They decided to forge their won future, free from the trammels of materialism",그들은 물질주의의 구속에서 벗어나 자신들의 미래를 개척해나가기로 하였다
tramp down,밟아다지다
tramp down,을 밟아뭉개다
look like a tramp,괴죄죄한 차림새를 하다
trample grass down,풀을 밟아 쓰러뜨리다
trample out a fire,불을 밟아끄다
fall into a trance,황홀해지다 실신하다
a tranquil sea,잔잔한 바다
a tranquil landscape,고요한 풍경
transactor,취급자
TransAmerican,아메리카횡단의
a transatlantic flight,대서양비행
This was an issue transcending local interests,이것은 우리 지역의 리익을 초월한 문제이다
a transcendental number,초월수
She transferred to the Physics Department,그 녀자는 물리강좌로 자리를 옮겼다
transfer from the train to a bus,기차에서 뻐스로 갈아타다
ask for a transfer to the city,도시로 조동시켜달라고 간청하다
Tshirts with ironon transfers T,다리미로 눌러 그림이 옭겨진 샤쯔
transfer of training,학습전이
The town is made luminous and is transfigured,도시는 밝아지고 아름답게 일신되였다
transfix a bird with an arrow,새를 화살로 쏘아꿰다
transform a barn into a garage,헛간을 차고로 개조하다
Lasers have transformed cardiac surgery,레이자는 심장수술방법을 완전히 바꾸었다
Heat is transformed into energy,열은 에네르기로 변한다
transformation scene,연극 형질전환
We became transfused by a radiance of joy,우리는 기쁨에 차넘치였다
a transgenic animal,유전자전이동물
He transgressed an unwritten social law,그는 관례로 지켜오는 사회적법의 한도를 넘어섰다
the transience of pleasure,덧없는 쾌락
a transient cold spell,잠시 온 추위
a transit passenger,통과려객
the transit of goods,화물수송
transit without visa,무사증통과
transit the Panama Canal,빠나마운하를 통과하다
an age of transition,전환기
an age of transition,과도기
the period of transition from capitalism to socialism,자본주의로부터 사회주의에로의 과도기
this transitional stage,이 과도적인 단계
translate an English book into Korean,영어책을 조선말로 번역하다
How do you translate his silence I translate it as a refusal,그의 침묵을 어떻게 해석합니까 거절이라고 해석합니다
translate a poem into prose,시를 산문으로 고쳐쓰다
Kindly translate,더 알기 쉽게 말해주시오
These words translate into Korean,이 말을 조선말로 번역할수 있다
read a novel in translation,번역소설을 읽다
transoceanic operations,대양횡단작전
fine transparent fabric,환하게 비치는 천
transplant rice seedlings,모를 내다
transplant skin from to,로부터 에피부를 이식하다
trnsplnt plnt,이식 이전
kidneys available for transplant,이식해 쓸수 있는 콩팥
a transpolar flight,극지횡단비행
a transpontine drama,통속극
The bulk of freight traffic was transported by lorry,그 많은 짐수송이 화물자동차에 의해 진행되였다
the transport of goods,화물수송
He was in transports,기뻐서 어쩔줄 몰랐다
the railway transportation,철도수송
transportation for life,종신류형
a transversal line,횡단선
a transverse section,횡단면
a transverse section,가로자름면
keep your trap shut,입다물라
Were going to trap him into admission,수를 써서 그가 자인하게 하겠다
He had trapped his finger in a springloaded hinge,그는 손가락을 용수식돌쩌귀에 끼웠다
trashy novels,서푼짜리 소설
in travail,산기가 있어
travel abroad,해외려행을 하다
Light travels faster than sound,빛은 소리보다 빠르다
Gullivers Travels,갈리버려행기
the travel of blood,피의 흐름
This horse is a fast traveller,이 말은 걸음이 빠르다
traverse an office,심문의 유효성을 인정하지 않다
a narrow traverse made lethal by snow and ice,눈과 얼음이 덮혀 죽음을 초래할수 있는 아슬아슬한 산릉선타기
a travesty of justice,어리석은 판결
trawl a net,그물을 당기다
She spent the morning in the library trawling for information for her project,그 녀자는 자기 과제를 수행하는데 필요한 자료를 찾느라 도서관에서 오전을 보냈다
a treacherous action,배신행위
a treacherous memory,믿을수 없는 기억력
treacherous ice,단단해 보이면서도 깨지기 쉬운 얼음
a treacherous bridge,위태로운 다리
A holidaymaker was swept away by treacherous current,한 휴양객이 별일없이 보이는 흐름에 밀려갔다
tread the ground,산보하다
tread the ground,걷다
a cigarette butt trodden into the carpet,주단에 발로 비벼끈 담배꽁초
tread a path through grass,밟아서 풀밭에 길을 내다
tread dirt,흙묻은 발자국을 내다
Getting the right balance between home and work is a difficult path to tread,가정생활과 사업사이에 균형을 옳게 유지한다는것은 쉬운 일이 아니다
tread on air,몹시 기뻐하다
tread on air,좋아서 어쩔줄 모르다
They are treading water in their career,그들은 자기 일에서 발전이 없다
the soulless treadmill of urban existence,활기없고 지루한 도시생활
a petty treason,주인남편 등의 살해
amass great treasures,막대한 재부를 축적하다
treasures of art art treasures,귀중한 미술품
the Treasurer of the Household,영국왕실회계국장관
the Treasurer of the United States,미국재무성출납국장
Montana,미국 주의 속칭
treat a disease,병을 치료하다
What subject did you treat with,무슨 문제를 론했는가
i'll treat today,오늘 내가 한턱 내겠다
Whose treat is it now,이번엔 누가 낼 차례인가
This Korean dish is a treat to the eye as well as the palate,이 조선료리는 정말 맛이 좋을뿐아니라 보기에도 좋다
go down a fair treat,대단히 평이 좋다
a classic treatise up on Koguryo,고구려에 대한 고전적론문
He responded well to treatment,그는 치료에 반응을 잘한다
a new treatment for cancer,암의 새로운 치료법
heat treatment,열처리
get the full treatment,일이 훌륭히 진행되다
a secret treaty,비밀협정
see the trees and not the forest,나무만 보고 수풀을 안본다 눈앞의 일에 구애되여 전체를 못보다
tree of heaven,가중나무
up a tree,진퇴량난에 빠져
up a tree,궁지에 몰려
a trek to the South Pole,남극에로의 도보려행
The vessel trembled with the shock,충격을 받아 배가 흔들렸다
tremble to think that,라는것을 생각만 해도 떨리다
a tremendous explosion,요란한 폭발
a tremendous success,대단한 성공
at tremendous speeds,엄청나게 빠른 속도로
They did a tremendous job,그들은 정말 훌륭한 일을 하였다
A tremor of sheer fear passed over him,무서운 공포에 사로잡혀 온몸이 떨렸다
tremulous leaves,흔들리는 나무잎
a cover trench,엄페호
a fire trench,전투호
a fire trench,산병호
mount the trenches,참호근무를 서다
open the trenches,참호를 파기 시작하다
relieve the trenches,참호근무를 교대하다
search the trenches,류산탄 등으로 참호를 포격하다
