En,Nk
make a trenchant criticism of,을 날카롭게 비판하다
a trenchant warning,엄한 경고
a trenchant tooth,송곳이
a upward trend in sales,상승하는 판매추세
the new trend in womens hairdo,최신류행의 녀자머리모양
trespass against the law,법을 어기다
trespass on railway property,철도구역에 불법침입하다
a golden tressed girl,금발머리소녀
a new trial,재심
a public trial,공판
preliminary trial,예심
stand trial,재판을 받다
await trial,재판받기를 기다리다
run a trial,시운전하다
by way of trial,시험삼아
by way of trial,시험으로
undergo clinical trial,림상실험을 진행하다
trials and tribulations,시련
trials and tribulations,많은 고난
horse trials,경마
on trial,시험해보니
on trial,시험한 결과에
tribadism,에서 남자노릇을 하는 녀자
in great tribulation,몹시 고생하여
the Hague Tribunal,헤그국제사법재판소
a tributary river,지류
a tribute of praise,찬사
a symposium organized to pay tribute to Darwin,다윈기념토론회
pay tribute to,에게 찬사를 보내다
in a trice,순식간에
a conjurers tricks conjuring tricks,요술
a trick of speech,말투
every trick in the book,목적달성을 위한 가능한 모든 수단
Hows tricks,잘 있느냐
Hows tricks,재미가 어떤가
not miss a trick,절대로 기회를 놓치지 않다
never miss a trick,빈틈이 없다
play some trick on,롱질로 놀려대다
trick of fortune,운명의 희롱
i've been tricked,속았다
trick riding,말타기교예
a trick question,묘한 질문
a trick question,쉬워보이나 실지는 힘든 문제
The details trickled out,자세한것은 차차 알려졌다
old and tried,전적으로 믿을수 있는
a much tried man,많은 시련을 겪은 사람
the tried and true,신뢰할수 있는것
the tried and true,유효성이 증명된것
waste time on trifles,쓸데없는 일에 시간을 랑비하다
a trifle of sugar,적은 량의 사탕가루
I am in no mood for trifling,롱담할 기분이 안난다
trifling thoughts,엉터리없는 생각
be the trigger point for,을 일으키는 동기가 되다
The trigger for the strike was the closure of a mine,파업의 동기는 페갱이였다
the trigger point for military action,군사행동의 동기
A lark was trilling overhead,하늘에서 종달새 한마리가 지저귀고있었다
The caged bird launched into a piercing trill,조롱에 갇힌 새가 째는듯한 소리를 내기시작하였다
trim a lamp,남포등의 심지를 자르다
trim off dead branches,말라죽은 가지를 베여버리다
into trim,적합한 상태로
find everything out of trim,모든것의 상태가 좋지 않다
in marching trim,행군준비를 갖추고
in fighting trim,전투준비를 갖추고
Just a trim please,약간 다듬어주십시오
in trim,날씬하고 몸상태가 좋은
a trim girl,곱살한 처녀
trimmings of lace,레스장식
Trinity House,의 회원
trip up the terrace steps,로대계단을 살랑살랑 뛰여올라오다
trip the green,록지우에서 가볍게 춤추다
trip it,춤추다
a name which trip off the tongue,발음이 슬슬되는 이름
She tripped up during the penultimate lap,그 녀자는 마지막으로 두번째 바퀴돌기에서 발이 걸려 비칠거렸다
a trip for health,휴양려행
make a trip,걸채다
tack tack,와 사이에 배가 전진하는 거리
achieve great triumphs,큰 성과를 거두다
return in triumph,개선하다
a triumphal procession,개선행렬
a triumphal return,개선
a triumphant World Cup team,월드컵우승팀
the trivial round of daily life,평범한 일상생활
transfer RNA,생화학
work like a Trojan,분투하다
work like Trojans,정력적으로 일하다
UN peacekeeping troops,유엔평화유지군
swear like a trooper,함부로 욕설하다
tropospheric scatter,통신
go troppo,미치다
proceed at a trot,총총걸음으로 가다
break into a trot,총총걸음을 놓다
go for a trot,말타기하러 가다
have the trots be on the trot,설사하다
on the trot,쉴새없이 바쁘게 돌아쳐
trot out the old excuse,늘 써먹던 구실을 또 내대다
get into trouble,벌을 받다
get into trouble,곤난하게 되다
i wouldn't want to put you to any trouble,당신을 절대로 고생시키지 않겠습니다
he's been in trouble with the seniors,그는 상급과 말썽이 일어났다
that's the trouble with capitalism,바로 이것이 자본주의의 병집이다
a childrens trouble,어린이병
The helicopter developed engine trouble,직승기는 기관고장이 났다
be a trouble to,에게 성가신 일이다
go to trouble to do,애써 하다
be in trouble s with have a trouble with,와의 사이에 말썽이 있다
make trouble,소동을 일으키다
make trouble,세상을 소란케 하다
labour troubles,로동쟁의
ask for trouble,스스로 재난을 초래하다
Hitching a lift is asking for trouble,지나가는 차를 얻어타고가는것은 경솔한짓이다
A trouble shared is a trouble halved,애로를 남에게 말하면 절반은 더는 셈이다
in trouble,곤경에 빠져
look for trouble,트집을 잡다
look for trouble,우정 말싸움을 걸다
Troubles never come singly,불행은 겹치는 법이다
Dont let it trouble you,그 일때문에 걱정마십시오
be troubled by with neuralgia,신경통으로 고생하다
His eyes troubled him,그는 눈때문에 괴로와했다
i'm sorry you have been troubled,페를 끼쳐 미안합니다
Dont trouble yourself,수고스럽게 그러지 마십시오
trouble about over trifles,하찮은 일로 걱정하다
Dont trouble to explain,애써 변명은 말게
troubled times,란세
troubled times,소란한 세상
look troubled,불안해보이다
fish in troubled waters,혼잡한 틈을 타서 자기 리속을 채우다
a troublesome pupil,말썽많은 학생
troublous times,소란한 시대
the trough of the sea,물결사이의 골
a vast glacial trough,거대한 얼음골짜기
Learning a language is series of peaks and troughs,언어를 배우는 일에낸 굴곡이 심하다
trouser pockets,바지주머니
a pair of trousers,바지 한벌
lay it on with a trowel,지나치게 아양떨다
lay it on with a trowel,덮어놓고 칭찬하다
make a truce,정전하다
coal truck s,석탄화차
truck,를 운전하다
truck,로 나르다
truck up,피사체에 촬영기를 접근시키다
truck back,피사체로부터 멀어지게 하다
I shall stand no truck,시시한 소리는 더 참지 못하겠다
I shall stand no truck,그따위 얼렁수는 듣기조차 싫다
truck,운전수
by the truckload,다량으로 대단히
trudge up the stairs,계단을 무겁게 올라가다
a true story,실화
"It is true that English is a difficult language to learn, but the grammar is quite easy",사실 영어는 배우기 힘든 언어이지만 문법은 아주 쉽다
True you are in the right,정말 너의 말이 옳다
true love,진실한 사랑
a true friend,진짜친구
true to expectations,기대대로
true to type,례식대로의
true to type,전형적인
a translation true to the original,원문에 충실한 번역
a true patriot,충실한 애국자
Many a true word is spoken in jest,롱담에 들을 말이 많다
true to life,실물 그대로의
Take care not to pull the frame out of true,문틀이 제자리에서 빠지지 않도록 주의하시오
Tell me true,정직하게 말하시오
aim true,똑바로 겨누다
It is truly said that time is money,시간은 금과 같다는 말은 지당한 말이다
"Truly ,I dont understand you sometimes",정말 어떤 때는 네가 리해되지 않는구나
a truly good man,정말 좋은 사람
hold some trumps,아직도 으뜸패를 가지고있다 최후수단이 남아있다
play a trump,으뜸패를 내놓다 최후수단을 쓰다
a trumpedup charge,날조된 혐의 과장되여 선전된
Your trumpeter s dead,허풍을 떨지 말게 곧이 들리지 않는걸
the truncate leaf,절단형잎
dashpot,의 작용을 하는 실린더
a trunk stream,본류
a flower truss,꽃송이
a breach of trust,신탁위반
Can you trust your children out of doors,아이들을 바깥에 내버려두어도 일없습니까
He can be trusted to do the work well,그는 그 일을 훌륭히 해낼것입니다
Trust him for that,걱정 놓으라
Trust him for that,그는 그만한건 한다
trust to luck,행운을 바라다
i'd trust him with my life,나는 그에게 내 운명을 맡기겠다
the Public Trustee,공인수탁자
trustee,역할을 하다
"He is of a simple, trusting disposition",그는 단순하고 남을 인차 믿는 성미이다
scientific truth,과학적진리
the truth is that,사실은 이다
in truth,정말
in truth,실제로
in truth,참으로
in truth,실은
nothing could be further from the truth,완전히 거짓이다
Truth lies at the bottom of a well,진리는 우물의 밑바닥에 있다
Truth lies at the bottom of a well,진리는 간단히 찾지 못한다
to be quite truthful,사실대로 말한다면
truth drug,약학
try a jump,뛰여보다
Do try to be punctual,시간을 지키도록 노력하시오
Try our fried chicken,우리 식당의 닭구이를 들어보십시오
Dont try your eyes with that fine print,그런 작은 활자를 보아 눈을 혹사시키지 마시오
he tried but didn't succeed,해보았으나 잘 되지 않았다
will try anything once,새로운 일을 기꺼이 맡아하다
try for a baby,애기를 낳으려고 노력하다
He tried out for the team,팀선수로 되기 위한 시험경기에 참가하다
Its worth a try,한번 해볼만하다
have a try,해보다
break tryst,만날 약속을 어기다
thyroidstimulating hormone,생화학 갑상선자극호르몬
Tshirted T,샤쯔를 입은
"You of all people, Goldie tsktsk","골디, 설마 네가 그러다니 쯧쯧"
a wash tub,빨래함지
a bath tub,목욕통
take a cold tub every morning,아침마다 랭수목욕을 하다
a tub of water,물 한통
eat a tub of yogurt,요그르트 한통을 먹다
Every tub must stand on its own bottom,사람은 누구나 자기를 믿어야 한다
Every tub must stand on its own bottom,아무통이나 반드시 제 바닥이 있는 법이다
a glass tube,유리관
a flexible tube,구부릴수 있는 관
a tin tube,주석관
I caught the tube home,나는 지하전동차를 타고 집으로 갔다
an optic tube,망원경
go down the tube,못쓰게 되다
go down the tubes,형편이 나빠지다
go down the tubes,실패하다
a tubeless tyre,튜브없는 다이야
pulmonary tuberculosis,페결핵
a renal tubule,세뇨관
i'm tuckered out,나는 지쳐버렸다
the Tudors the House of Tudor,튜더가문
Tudor Elizabeth,와 시대의 건축형식의
He tugged at his moustache,수염을 잡아당겼다
give a tug at the bell,초인종끈을 잡아당기다
We felt a great tug at parting,리별하기가 서운했다
tug of love,어린이양육다툼
tug of war,바줄당기기
tulip tree,의 목재
tumble down the stairs,계단에서 굴러떨어지다
Police and dogs tumbled from the vehicle,경찰과 개가 굴다싶이 차에서 내려왔다
come tumbling down,넘어지다
come tumbling down,갑자기 꼬꾸라지다
Removing the debris could cause the rest of the building to come tumbling down,버럭을 치우면 건물의 나머지부분이 풀썩 주저앉게 될수 있었다
shell ring again as soon as she tumble to what she's done,그 녀자는 자기가 무슨 일을 저질렀는지 알게 되면 곧 전화를 걸어올것이요
all in a tumble,완전히 뒤죽박죽이 되여
take a tumble,폭락하다
give a tumble,호의를 보이다
give a tumble,관심을 돌리다
a tumbler of milk,한 고뿌의 우유
a tumid leg,부어오른 다리
with a full tummy,배불리 먹고
A tumult of shouting and screaming broke out,웨침소리와 비명소리가 터져나왔다
tumultuous passions,폭풍같은 격정
Tunbridge Wells,에서 만든 상감세공품
call the tune,지휘하다
call the tune,좌지우지하다
there's many a good tune played on an old fiddle,젊다고 하여 능력있는것이 아니다
to some tune,상당히
to some tune,꽤
to the tune of,의 곡에 맞추어
The radio was tuned to Pyongyang,평양방송에 주파수가 맞추어졌다
be tuned in,에 민감하다
be tuned in,을 알아차리다
be tuned to,에 익숙하다
The animals are finely tuned to life in the desert,그 동물들은 사막생활에 훌륭히 적응하였다
a tuquoque reply,말대꾸
a tuquoque reply,응수
an action turbine,충격타빈
turbocharger,를 장비한 자동차
turbosupercharged,타빈과급기가 달린
on the turf,경마를 업으로 삼아
a regular Turk,형편없이 란폭한놈
turn Turk become Turk,이슬람교도가 되다
turkeytrot turkey trot,를 추다
be in turmoil,혼란상태에 있다
The firemen turned their hoses on the blaze,소방대원들은 화염쪽으로 호스를 돌리였다
Could you turn your chairs to face this way,의자가 이쪽을 향하도록 돌려놔주겠습니까
I turned the talk away from the subject,그 이야기로부터 화제를 돌렸다
turn a ship from her course,배의 침로를 바꾸다
turn cattle to pasture,소를 방목하다
He was turned from the door,문전거절을 당했다
Worry turned his hair grey,걱정으로 그는 머리가 셌다
Success has positively turned his head,성공에 취하여 완전히 제정신이 아니다
A wheel turns on its axis,바퀴는 축을 중심으로 회전한다
"He turned away, hiding the fear in his eyes",그는 눈에 어린 공포를 가리우기 위해 돌아섰다
"She glared at him, turned on her heel, and stomped out of the room",노려보더니 그는 홱 돌아서서 방을 쿵쿵 울리며 나가버렸다
Heights always make my head turn,높은 곳에 오르기만 하면 언제나 머리가 어질어질한다
The snow turned to icy rain,눈이 진눈까비로 변하였다
He turned traitor,반역자로 전락되였다
Every time I turn around he seems to be checking up on me,그는 내내 나를 검토하고있는것 같다
not know which way to turn not know where to turn,어찌할바를 모르다
You cant just turn around and say that it was all my fault,모든것이 다 내 잘못이였다고 왕청같은 말을 하면 되겠소
turn aside,옆으로 비키다
turn aside,옆길에 들어서다
turn full circle,한바퀴 돌고 제자리로 돌아오다
turn heads,각광을 받다
turn heads,커다란 관심을 모으다
turn loose upon the world,놓아주다
turn loose upon the world,자유롭게 해주다
turn tail,뺑소니를 치다
turn tail,꼬리를 사리다
turn the tide,형세를 역전시키다
Many people had turned against the war,많은 사람들이 전쟁을 지지하지 않았다
Consumers are turning away from credit cards,소비자들은 신용카드에 대한 흥미를 잃고있다
Its getting late maybe we should turn back,어두워지는데 되돌아가야 할것 같애
The UN convoy was turned back at the border,유엔수송대는 국경에서 되돌아섰다
"weve promised to help, and there's no turning back",우리는 돕겠다고 약속했으며 그 약속을 변경시킬수는 없다
she's already turned him down,그 녀자는 그의 청혼을 이미 거절하였다
When do the library book have to be turn ed in,도서관에서 빌린 책은 언제 반환해야 합니까
The sofa turns into a bed,쏘파가 침대로 변한다
"Months turned into years, and still there was no letter",달이 가고 해가 바뀌였지만 여전히 편지한장 없었다
"In a flash, the prince turned into a frog",순간에 왕자는 개구리로 변하였다
He turned off the highway and into the town,그는 고속도로에서 벗어나 읍거리로 접어들었다
Everything turned on how much time was available,모든것은 얼마만한 시간이 들겠는가에 달려있었다
"To my surprise, it turned out that I was wrong",놀랍게도 내가 틀린것으로 되였다
As it turned out he passed the exam easily,결국에는 그가 시험을 무난히 통과하였다
The engine turned over twice and then stopped,기관은 두번 돌고나서 멎어버렸다
The works was turn ed over to the production of aircraft parts,공장은 비행기부분품생산에로 전환하였다
let's turn the whole idea round and look at it from another angle,모든것을 뒤바꾸어 다른 각도에서 보기로 합시다
All the missing documents had turned up,잃어버린 문서가 모두 나졌다
Half the guests failed to turn up,손님들중 절반이 도착하지 못하였다
Its your turn,네 차례이다
According to the map we missed our turn back there,지도에 의하면 우리는 저 뒤에서 우리가 옆으로 빠져야 하는 길을 놓쳤다
Take the second turn on the left,왼쪽의 두번째 사이길로 꺾어드시오
there's a sharp turn coming up ahead,이제 앞에 급한 굽인돌이가 있다
Make a left turn at the station,역전에서 왼쪽으로 꺾으시오
take a dramatic turn,극적인 전변을 가져오다
"From then on, our fortunes took a downward turn",그때부터 우리 운명은 내리막길을 걸었다
take a turn for the worse,악화되다
a new turn of events,새로운 사태발전
the turn of the seasons,환절기
the turn of the century,세기와 세기의 분기점
give the screw another two or three turn s,나사를 두세번 더 돌리다
a songanddance turn,가무
give quite a turn,큰 충격을 주다
give quite a turn,를 질겁하게 하다
at every turn,항상
at every turn,도처에서 언제나
by turns,번갈아
by turns,교대로
by turns,차례차례로
in turn,련속하여
in turn,차례로
in turn,순차대로
One good turn deserves another,좋은 일을 해주면 좋은 보답을 받기 마련
out of turn,순서없이
out of turn,순번이 뒤바뀌여
talk out of turn,경솔하게 말하다
speak out of turn,때와 장소를 가리지 않고 말하다
take turns take it in turns,교대로 하다
take turns in pushing the bike along,교대로 자전거를 밀다
take turns to cook,교대로 료리하다
to a turn,적절하게
to a turn,꼭맞게
to a turn,나무랄데없이
This could be a turning point in his career,이것은 그의 사회생활경력에서 전환점으로 될수 있었다
He missed the turnoff to the village,그는 마을로 들어서는 옆길을 놓쳐버렸다
a turnup nose,들창코
talk turpentine,그림을 론하다
turpentine terebinth,을 채취하는 각종 소나무들의 총칭 특히
Tuscany,양식의
Tuscany,사람
Tush tush,잠자코있어 닥쳐
Demonstrators tussled with police,시위자들은 경찰들과 몸싸움을 하였다
tussock,가 많은
a private tutor,가정교사
cut in twain,둘로 자르다
an American twang,미식영어의 코소리
He tweaked the boys ear,그는 소년의 귀를 가볍게 비틀었다
The brows were tweezed to an almost invisible line,눈섭은 족집게로 뽑아 거의 보이지 않은 선으로 되였다
Twelfth Night,의 축하과자
Twelfth Night Twelfth Day,및 의 계절
strike twelve the first time strike twelve all at once,처음부터 모든 능력을 발휘하다
twenty and twenty,수없이 많은
twenty and twenty,다수의
like twenty,매우
like twenty,몹시
like twenty,아주
once or twice,한두번
twice or thrice,두세번
twice or thrice,재삼
a twicelaid rope,재생바줄
She twiddled the dials on the radio,그 녀자는 라지오의 주파수맞추개를 돌리였다
at twilight in the twilight,황혼이 깃들 때
twilled fabrics,릉직물
twin brothers,쌍둥이형제
doubleheader,체육
The river twined to the sea,강은 굽이쳐 바다로 흘러들어갔다
in a twink,순식간에
in a twinkle,순식간에
in a twinkle,눈깜빡할사이에
a twinkletoed midfielder,재빠른 중간방어수
in a twinkling,눈깜빡할사이에
in the twinkling of an eye,순식간에
She twirled in delight to show off her new dress,그 녀자는 새옷을 보여주려고 기쁨에 겨워 한바퀴 빙 돌았다
do a twirl in front of the mirror,거울앞에서 한바퀴 돌다
twist off,비틀어끊다
He twisted it out of my hand,그는 내손을 비틀어 그것을 빼앗았다
Beetroot can be stored once the leaves have been twisted off,일단 잎을 비틀어떼내면 사탕무우는 저장할수 있다
round the twist,머리가 돌아서
twists and turns,굽이침
twitch a cigarette out of the packet,곽에서 담배 한대를 쭉 뽑다
The dog twitched his ears,개가 귀를 쫑긋거렸다
She twitched at my sleeve,나의 소매를 잡아당겼다
a twitch of toothache,심한 이아픔
all of a twitch,두려워하며
all of a twitch,벌벌 떨고
at a twitch in a twitch,순식간에
at a twitch in a twitch,곧
a day or two,하루이틀사이
fall between two stools,게도 구럭도 다 잃다
put two and two together,사실로부터 명확한 결론을 얻다
put two and two together,이것저것 종합하여 생각하다
put two and two together and make five,사실로부터 부정확한 결론을 얻다
Two heads are better than one,백지장도 맞들면 가볍다
I dont care twopence,조금도 상관치 않는다
twopence coloured,값눅고 화려한
twostep,로 춤추다
tuyere,야금
the mining tycoon,광업계의 거두
the tycoon s government,도꾸가와막부
a tying agreement,조건부계약
an perfect type of modern architecture,현대건축의 훌륭한 본보기
the vertebrate type,척추동물형
in type,인쇄준비가 되여
typecast,연극
type from copy,원고를 보면서 타자치다
She types well,타자를 잘 친다
"Tough, lowlying vegetation typifies the arctic area",거칠고 키가 낮은 식물들은 이 북극지역의 특징으로 된다
a typographic art,활판인쇄술
The lord tyrannized over the servants,군주은 노예들을 막 부려먹었다
rubber tyred,고무다이야를 댄
a U tube U,자관
ubiquitous fog,사방에 자욱한 안개
upper case,인쇄
Unilateral Declaration of Independence,일반적독립선언
an ugly smell,고약한 냄새
an ugly sound,귀에 거슬리는 소리
an ugly sea,물결이 사나운 바다
ask an ugly question,심술궂은 질문을 하다
underwater launched guided missile,수중발사유도미싸일
ultrahigh frequency,통신 극초단파
a gastric ulcer,위궤양
ultra largescale integration,초대규모집적회로
ulterior regions,오지
ulterior regions,산골
ulterior regions,두메고장
for the sake of ulterior ends,생각하는바가 있어서
He has an ulterior object in view,그에게는 속꿍꿍이가 있다
to the ultimate ends of the earth,이세상 끝까지
the ultimate end of struggle,투쟁의 최종목적
the ultimate victory of socialism,사회주의의 종국적승리
ultimate goals of life,인생의 최고목적
in the ultimate,드디여
in the ultimate,마지막에
ultraconservative forces,초보수파세력
ultramicrofiche,사진
an ultralight engine,초경량기관
ltrlat,초경량물건
Alps,산줄기 남쪽의 이딸리아의
Alps,산줄기남쪽의 사람
Alps,산줄기북쪽의 사람
ultrashort wave broadcasting,초단파방송
ultrasonic wave,초음파
ultraviolet rays,자외선
umbilical surgery,배꼽수술
the umbilical region,배꼽부위
price umbrella,최고가격을 억제하는것
under the Conservative umbrella,보수당산하에
an umbrella organization,포괄적인 조직
urban management information system,도시행정관리정보체계
umpire in a labour dispute,로동쟁의를 중재하다
umpteen years ago,여러해전에
young uns,젊은이들
I am unable to walk,걷지 못한다
sing unaccompanied,반주없이 노래부르다
a sonata for unaccompanied violin,무반주바이올린을 위한 쏘나타
an unaccounted for accident,원인불명의 사고
unaccustomed to hardships,고생을 해보지 못한
He was quite unaffected by the appeal,그는 애원하는데도 전혀 마음이 흔들리지 않았다
with the unaided eye,육안으로
with the unaided eye,맨눈으로
unAmerican activities,반미활동
a unanimity of consent,만장일치의 찬성
with unanimity,만장일치로
a unanimous aspiration for the countrys reunification,조국통일에 대한 한결같은 지향
greet with unanimous applause,만장의 박수갈채로 환영하다
arrive unannounced,갑자기 도착하다
an unapproachable spot,접근할수 없는 지점
be unapt at games,경기를 잘 못하다
I am unapt to go there,나는 거기에 갈 생각이 없다
an unarmed area,비무장지대
the unassisted eye,육안
an unassuming and kind man,겸손하고 친절한 사람
The queen was unattended,녀왕은 수행원이 없이 나왔다
an unavoidable delay,불가피한 연기
unavoidably,불가피하게
unawares to,을 눈치채지 못하고 에게 눈치를 채이지 않고
at unawares,갑자기
at unawares,뜻밖에
an unbacked product,품질에 대한 보증이 없는 제품
unbalanced books,미결산장부
an unbecoming hat,어울리지 않는 모자
unbend the mind from study,학습으로 인한 긴장성을 풀다
come unbound,풀려나오다
the uncanonical books,외경서
the uncanonical books,외전
uncaring the colours,군기를 휘날리다
uncertain weather,변덕스러운 날씨
in no uncertain terms,명백하고도 힘있게
uncertainty of temper,변덕
unclassified plans,군사기밀이 아닌 계획
i'll be a monkeys uncle,아이구 깜짝이야
Pork is an unclean meat for Muslims,돼지고기는 이슬람교도들에게 부정한것으로 되여있다
unclog a drain,뺄물길이 막힌것을 열다
a life of unclouded happiness,명랑하고 행복한 생활
an uncommitted crime,미수죄
a man of uncommon quality,비범한 소질을 가진 사람
not uncommonly,가끔
not uncommonly,자주
After that he was unconscious for several minutes,그후 몇분동안 인사불성이였다
uncontrollable anger,억제할수 없는 노여움
an uncorrectable disease,불치의 병
uncountable myriads of bacteria,무수한 세균
uncover a plot to smuggle weapons into a country,나라에 무기를 밀수하려던 음모를 발가놓다
uncrowded beach,붐비지 않는 해변가
United Nations Conference on Trade and Development,유엔무역개발회의
a sermon lacking in unction,종교적열정이 없는 설교
in an unctuous voice,사람을 녹이는 목소리로
United Nations Disarmament Commission,유엔군축위원회
an undecided question,미해결문제
an undecided character,우유부단한 인물
an undefined feeling of sadness,왜선지 슬픈 감정
an undefined term,정의되지 않은 용어
undelivered letters,배달되지 않은 편지
undeniable evidence,움직일수 없는 증거
under the sun,천하에
under the sun,지상에
under a wall,담장밑에
under a wall,담장그늘에 숨어서
under water,침수되여
under water,물에 잠기여
a few acres under corn acre,밀을 심은 몇의 땅
under the skin,피하에
under a delusion,착각하여
under a delusion,잘못 생각해서
I was under a mistake,나는 잘못 생각했었다
It is forbidden under pain of death,그 금지사항을 어기는 사람은 사형에 처한다
under the rule of Japanese imperialism,일제통치하에
under a vow of secrecy,비밀을 지킬것을 맹세하고
His tears are under control,그는 눈물을 억제하고있다
The rest come under this class,나머지는 이 부류에 속한다
under a false name,가명을 하고
under such conditions,그러한 조건하에
under these circumstances,이러한 사정이므로
under layers,아래층
under layers,하층
an under cook,료리사의 조수
an undercover investigation,비밀조사
an undercover agent,간첩
work undercover in France,프랑스에서 비밀첩보원으로 사업하다
the underemployed,불완전취업자
the most dejected and underfoot group of people,가장 천대받고 짓밟힌 사람들
undergo a rapid change,급격히 변화하다
undergo a rapid change,급격한 변화를 겪다
undergo trials,시련을 견디다
an underground cellar,지하실
an underground nuclear test,지하핵시험
an underground passage,지하통로
an underground movement,지하운동
underground political activities,비밀정치활동
an underground church,비정통교회
the underground economy,지하경제
travel by underground,지하철도로 가다
sickly and undergrown cattle,약하고 제대로 크지 못한 소
the fundamental issue which underlies the conflict,그 분쟁의 근원으로 되는 근본적인 문제
translate the underlined part,밑줄을 그은 부분을 번역하다
an underlying mortgage,선위저당
an underlying mortgage,제일담보
undermine the foundation of,의 기초를 위태롭게 하다
underpin a ship with long props,배밑에 긴 버팀목을 버티다
Minorities are underrepresented at high levels,상층부에는 소수민족이 거의 없다
undersea life,바다속에 사는 생물
a medically underserved community,의료시설이 불충분한 사회
underlie,광산
undershot wheel,밑돌림식물방아
"I, the undersigned",서명한 사람인 저
Can you understand Korean,조선말을 아십니까
a verb that may be expressed or understood,넣을수도 있고 생략할수도 있는 동사
"He is ill, I understand",들은바에 의하면 그는 앓는다고 한다
I was given to understand that I could expect no help from them,나는 그들로부터는 아무런 도움도 바랄수 없다는것을 깨달았다
It is understood that,은 말할것도 없다
It is understood that,은 물론이다
understand each other,서로 리해하다 공모하다
for understandable reasons,리해할수 있는 리유로 하여
obtain a deep understanding of the Partys policies,당정책을 깊이 체득하다
his understanding of the event,그 사건에 대한 그의 견해
have an understanding with,와 합의에 이르다
on the understanding that,이라는 조건으로
a kindly understanding woman,친절하고 리해심이 있는 녀인
He undertook to guide us up and down the hill,그는 우리를 안내해서 그 산을 오르내리겠다고 약속했다
Such experiments should be undertaken with caution,그러한 실험은 조심해서 해야 한다
Its quite an undertaking,그것은 대단히 큰 사업이다
speak in undertones,작은 목소리로 이야기하다
an underwater camera,수중촬영기
an underwater gun,수중용총
The seal spends a lot of time underwater,넝에는 많은 시간을 물속에서 보낸다
an underweight baby,표준체중에 못미치는 아기
an undesirable person,달갑지 않은 사람
escape undetected,발견되지 않고 도망치다
His enthusiasm for the game remains undiminished,그의 경기열은 식지 않는다
with undisguised pleasure,참으로 기쁜듯이
He is undisposed to join us,그는 우리에게 가담할 생각이 없다
undivided attention,전심
